ranking,title,location,continent
567,Northwestern Polytechnical University,China,Asia
568,Universidad Peruana Cayetano Heredia,Peru,America
569,Polytechnic University of Turin,Italy,Europe
570,Pontifical Catholic University of Chile,Chile,America
571,University of Portsmouth,United Kingdom,Europe
572,Quaid-i-Azam University,Pakistan,Asia
573,Renmin University of China,China,Asia
574,Rensselaer Polytechnic Institute,United States,America
575,Sabancı University,Turkey,Asia
576,University of Sassari,Italy,Europe
577,Sciences Po,France,Europe
578,SOAS University of London,United Kingdom,Europe
579,Soochow University,China,Asia
580,Southeast University,China,Asia
581,University of Southern Queensland,Australia,Oceania
582,Southwestern University of Finance and Economics,China,Asia
583,Stevens Institute of Technology,United States,America
584,University of Strasbourg,France,Europe
585,Suez Canal University,Egypt,Africa
586,Sumy State University,Ukraine,Europe
587,University of Tehran,Iran,Asia
588,Tehran University of Medical Sciences,Iran,Asia
589,Teikyo University,Japan,Asia
590,Télécom SudParis,France,Europe
591,The University of Texas at San Antonio,United States,America
592,Tomsk State University,Russian Federation,Asia
593,University of Trieste,Italy,Europe
594,Universiti Tunku Abdul Rahman (UTAR),Malaysia,Asia
595,University of Tuscia,Italy,Europe
596,University of Urbino Carlo Bo,Italy,Europe
597,Victoria University of Wellington,New Zealand,Oceania
598,University of Waikato,New Zealand,Oceania
599,The University of the West Indies,Jamaica,America
600,University of the West of Scotland,United Kingdom,Europe
601,Xiamen University,China,Asia
602,Zhejiang Normal University,China,Asia
603,Åbo Akademi University,Finland,Europe
604,The University of Aizu,Japan,Asia
605,Ajou University,South Korea,Asia
606,University of Alabama,United States,America
607,University of Alabama in Huntsville,United States,America
608,Al-Balqa Applied University,Jordan,Asia
609,Amedeo Avogadro University of Eastern Piedmont,Italy,Europe
610,University of Antofagasta,Chile,America
611,Aristotle University of Thessaloniki,Greece,Europe
612,University of Arkansas,United States,America
613,Athens University of Economics and Business,Greece,Europe
614,Auburn University,United States,America
615,University of Aveiro,Portugal,Europe
616,University of the Balearic Islands,Spain,Europe
617,Banaras Hindu University,India,Asia
618,University of Beira Interior,Portugal,Europe
619,University of Belgrade,Serbia,Europe
620,University of Bergamo,Italy,Europe
621,Bilkent University,Turkey,Asia
622,Birmingham City University,United Kingdom,Europe
623,Boğaziçi University,Turkey,Asia
624,Université Bourgogne Franche-Comté (UBFC),France,Europe
625,University of Bradford,United Kingdom,Europe
626,University of Brighton,United Kingdom,Europe
627,Bucharest University of Economic Studies,Romania,Europe
628,Ca’ Foscari University of Venice,Italy,Europe
629,Cairo University,Egypt,Africa
630,University of Calabria,Italy,Europe
631,University of Central Florida,United States,America
632,Chapman University,United States,America
633,Institute of Chemical Technology,India,Asia
634,China Agricultural University,China,Asia
635,"China University of Petroleum, Beijing",China,Asia
636,Chongqing University,China,Asia
637,Chulalongkorn University,Thailand,Asia
638,Chung-Ang University,South Korea,Asia
639,Clemson University,United States,America
640,University of Clermont Auvergne,France,Europe
641,University of Coimbra,Portugal,Europe
642,COMSATS University Islamabad,Pakistan,Asia
643,Concordia University,Canada,America
644,Coventry University,United Kingdom,Europe
645,Creighton University,United States,America
646,Dalian University of Technology,China,Asia
647,University of Delhi,India,Asia
648,De Montfort University,United Kingdom,Europe
649,University of Deusto,Spain,Europe
650,École des Mines de Saint-Étienne,France,Europe
651,École normale supérieure Paris-Saclay,France,Europe
652,Edinburgh Napier University,United Kingdom,Europe
653,Eötvös Loránd University,Hungary,Europe
654,European University of Madrid,Spain,Europe
655,Ewha Womans University,South Korea,Asia
656,Federal University of Minas Gerais,Brazil,America
657,Federal University of Rio Grande do Sul,Brazil,America
658,Federal University of Santa Catarina,Brazil,America
659,Federal University of São Paulo (UNIFESP),Brazil,America
660,Federal University of Sergipe (UFS),Brazil,America
661,Gabriele d‘Annunzio University,Italy,Europe
662,University of Girona,Spain,Europe
663,Glasgow Caledonian University,United Kingdom,Europe
